875,0,False
850,1,False
825,2,False
800,3,False
775,4,False
750,5,False
725,6,False
700,7,False
675,8,False
650,9,False
625,10,False
600,11,False
575,12,False
550,13,True
525,14,False
500,15,False
475,16,False
450,17,False
425,18,False
400,19,False
375,20,False
350,21,False
325,22,False
300,23,False
275,24,True
250,25,False
225,26,False
200,27,False
175,28,False
150,29,False
125,30,False
100,31,False
75,32,False
50,33,False
25,34,False
0,35,True23200,0,False
23171,1,False
23142,2,False
23113,3,False
23084,4,False
23055,5,False
23026,6,False
22997,7,False
22968,8,False
22939,9,False
22910,10,False
22881,11,False
22852,12,False
22823,13,False
22794,14,False
22765,15,False
22736,16,False
22707,17,False
22678,18,False
22649,19,False
22620,20,False
22591,21,False
22562,22,False
